Sun Nov 27 19:55:08 2016 : 0, occupied; 
Sun Nov 27 19:55:17 2016 : 0, occupied; 
Mon Nov 28 15:05:17 2016 : 
Mon Nov 28 21:10:16 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:10:26 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:10:36 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:10:46 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:10:56 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:11:06 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:11:16 2016 : 0, occupied; 1, occupied; 2, empty; 
Mon Nov 28 21:11:26 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:11:36 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:11:46 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:11:56 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:12:06 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:12:16 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:12:26 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:12:36 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:12:47 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:12:57 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:13:07 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:13:17 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:13:27 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:13:37 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:13:47 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:13:57 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:14:07 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:14:17 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:14:27 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:14:37 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:14:47 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:14:57 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:15:07 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:15:17 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:15:27 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:15:37 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:15:48 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:15:58 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:16:08 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:16:18 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:16:28 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:16:38 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:16:48 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:16:58 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:17:08 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:17:18 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:17:28 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:17:38 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:17:48 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:17:58 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:18:08 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:18:18 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:18:29 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:18:38 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:18:49 2016 : 0, occupied; 1, occupied; 2, empty; 
